record_id,material,shape,price_yen,rating
0,steel,square,10000,4.5
1,steel,square,10000,5.0
2,steel,square,10000,5.5
3,steel,square,20000,3.5
4,steel,square,20000,4.0
5,steel,square,20000,4.5
6,steel,round,10000,5.0
7,steel,round,10000,5.5
8,steel,round,10000,6.0
9,steel,round,20000,4.0
10,steel,round,20000,4.5
11,steel,round,20000,5.0
12,wood,square,10000,6.0
13,wood,square,10000,6.5
14,wood,square,10000,7.0
15,wood,square,20000,5.0
16,wood,square,20000,5.5
17,wood,square,20000,6.0
18,wood,round,10000,6.5
19,wood,round,10000,7.0
20,wood,round,10000,7.5
21,wood,round,20000,5.5
22,wood,round,20000,6.0
23,wood,round,20000,6.5
