回答者ID,軸1,軸2,purpose,material,style
P01,-0.5009018950727572,1.1467164802084655,reading,wood,natural
P02,-0.5009018950727572,1.1467164802084655,reading,wood,natural
P03,-0.5009018950727572,1.1467164802084655,reading,wood,natural
P04,-0.5009018950727572,1.1467164802084655,reading,wood,natural
P05,-0.5009018950727572,1.1467164802084655,reading,wood,natural
P06,-0.5009018950727572,1.1467164802084655,reading,wood,natural
P07,-0.5009018950727572,1.1467164802084655,reading,wood,natural
P08,-0.5009018950727572,1.1467164802084655,reading,wood,natural
P09,-0.5009018950727572,1.1467164802084655,reading,wood,natural
P10,-0.5009018950727572,1.1467164802084655,reading,wood,natural
P11,-0.5009018950727572,1.1467164802084655,reading,wood,natural
P12,-0.5009018950727572,1.1467164802084655,reading,wood,natural
P13,-0.5009018950727572,1.1467164802084655,reading,wood,natural
P14,-0.5009018950727572,1.1467164802084655,reading,wood,natural
P15,-0.5009018950727572,1.1467164802084655,reading,wood,natural
P16,-0.5009018950727572,1.1467164802084655,reading,wood,natural
P17,1.51232448334584,-0.2096900294227858,work,steel,sharp
P18,1.51232448334584,-0.2096900294227858,work,steel,sharp
P19,1.51232448334584,-0.2096900294227858,work,steel,sharp
P20,1.51232448334584,-0.2096900294227858,work,steel,sharp
P21,1.51232448334584,-0.2096900294227858,work,steel,sharp
P22,1.51232448334584,-0.2096900294227858,work,steel,sharp
P23,1.51232448334584,-0.2096900294227858,work,steel,sharp
P24,1.51232448334584,-0.2096900294227858,work,steel,sharp
P25,1.51232448334584,-0.2096900294227858,work,steel,sharp
P26,1.51232448334584,-0.2096900294227858,work,steel,sharp
P27,1.51232448334584,-0.2096900294227858,work,steel,sharp
P28,1.51232448334584,-0.2096900294227858,work,steel,sharp
P29,1.51232448334584,-0.2096900294227858,work,steel,sharp
P30,1.51232448334584,-0.2096900294227858,work,steel,sharp
P31,-0.8323795518790001,-1.2334558931966773,chat,fabric,soft
P32,-0.8323795518790001,-1.2334558931966773,chat,fabric,soft
P33,-0.8323795518790001,-1.2334558931966773,chat,fabric,soft
P34,-0.8323795518790001,-1.2334558931966773,chat,fabric,soft
P35,-0.8323795518790001,-1.2334558931966773,chat,fabric,soft
P36,-0.8323795518790001,-1.2334558931966773,chat,fabric,soft
P37,-0.8323795518790001,-1.2334558931966773,chat,fabric,soft
P38,-0.8323795518790001,-1.2334558931966773,chat,fabric,soft
P39,-0.8323795518790001,-1.2334558931966773,chat,fabric,soft
P40,-0.8323795518790001,-1.2334558931966773,chat,fabric,soft
P41,-0.8323795518790001,-1.2334558931966773,chat,fabric,soft
P42,-0.8323795518790001,-1.2334558931966773,chat,fabric,soft
P43,-0.6328117122026617,0.4115401347800409,reading,wood,soft
P44,-0.6328117122026617,0.4115401347800409,reading,wood,soft
P45,-0.6328117122026617,0.4115401347800409,reading,wood,soft
P46,-0.60695684810767,0.37136315487534016,reading,fabric,natural
P47,-0.60695684810767,0.37136315487534016,reading,fabric,natural
P48,0.8355283010237181,0.22740766176966962,work,steel,natural
P49,0.8355283010237181,0.22740766176966962,work,steel,natural
P50,0.8732919550793602,0.23848185073226572,work,wood,sharp
P51,0.8732919550793602,0.23848185073226572,work,wood,sharp
P52,-0.7004697347490957,-0.49827954776825245,chat,fabric,natural
P53,-0.7004697347490957,-0.49827954776825245,chat,fabric,natural
P54,-0.7004697347490957,-0.49827954776825245,chat,fabric,natural
P55,-0.7263245988440872,-0.45810256786355175,chat,wood,soft
P56,-0.7263245988440872,-0.45810256786355175,chat,wood,soft
P57,0.1381306331937227,0.6985446000534142,reading,steel,natural
P58,0.7672370020444471,-0.5368714746008598,work,fabric,sharp
P59,-0.08729207057760742,-0.9062744480186031,chat,steel,soft
P60,-0.7388666652375745,-0.3638131905530847,reading,fabric,soft
