record_id,experience,place,choose_A
0,new,home,1
1,new,home,1
2,new,home,1
3,new,home,1
4,new,home,1
5,new,home,0
6,new,home,0
7,new,home,0
8,new,home,0
9,new,home,0
10,new,home,0
11,new,home,0
12,new,home,0
13,new,home,0
14,new,home,0
15,new,home,0
16,new,home,0
17,new,home,0
18,new,home,0
19,new,home,0
20,new,office,1
21,new,office,1
22,new,office,1
23,new,office,1
24,new,office,1
25,new,office,1
26,new,office,1
27,new,office,1
28,new,office,1
29,new,office,0
30,new,office,0
31,new,office,0
32,new,office,0
33,new,office,0
34,new,office,0
35,new,office,0
36,new,office,0
37,new,office,0
38,new,office,0
39,new,office,0
40,experienced,home,1
41,experienced,home,1
42,experienced,home,1
43,experienced,home,1
44,experienced,home,1
45,experienced,home,1
46,experienced,home,1
47,experienced,home,1
48,experienced,home,1
49,experienced,home,1
50,experienced,home,1
51,experienced,home,0
52,experienced,home,0
53,experienced,home,0
54,experienced,home,0
55,experienced,home,0
56,experienced,home,0
57,experienced,home,0
58,experienced,home,0
59,experienced,home,0
60,experienced,office,1
61,experienced,office,1
62,experienced,office,1
63,experienced,office,1
64,experienced,office,1
65,experienced,office,1
66,experienced,office,1
67,experienced,office,1
68,experienced,office,1
69,experienced,office,1
70,experienced,office,1
71,experienced,office,1
72,experienced,office,1
73,experienced,office,1
74,experienced,office,1
75,experienced,office,0
76,experienced,office,0
77,experienced,office,0
78,experienced,office,0
79,experienced,office,0
