回答者ID,軸1,軸2,purpose,material,style
P01,-0.5334761865267089,1.3420163926380877,reading,wood,natural
P02,-0.5334761865267089,1.3420163926380877,reading,wood,natural
P03,-0.5334761865267089,1.3420163926380877,reading,wood,natural
P04,-0.5334761865267089,1.3420163926380877,reading,wood,natural
P05,-0.5334761865267089,1.3420163926380877,reading,wood,natural
P06,-0.5334761865267089,1.3420163926380877,reading,wood,natural
P07,-0.5334761865267089,1.3420163926380877,reading,wood,natural
P08,-0.5334761865267089,1.3420163926380877,reading,wood,natural
P09,-0.5334761865267089,1.3420163926380877,reading,wood,natural
P10,-0.5334761865267089,1.3420163926380877,reading,wood,natural
P11,-0.5334761865267089,1.3420163926380877,reading,wood,natural
P12,-0.5334761865267089,1.3420163926380877,reading,wood,natural
P13,-0.5334761865267089,1.3420163926380877,reading,wood,natural
P14,-0.5334761865267089,1.3420163926380877,reading,wood,natural
P15,-0.5334761865267089,1.3420163926380877,reading,wood,natural
P16,-0.5334761865267089,1.3420163926380877,reading,wood,natural
P17,1.6106728804632013,-0.24540281901851052,work,steel,sharp
P18,1.6106728804632013,-0.24540281901851052,work,steel,sharp
P19,1.6106728804632013,-0.24540281901851052,work,steel,sharp
P20,1.6106728804632013,-0.24540281901851052,work,steel,sharp
P21,1.6106728804632013,-0.24540281901851052,work,steel,sharp
P22,1.6106728804632013,-0.24540281901851052,work,steel,sharp
P23,1.6106728804632013,-0.24540281901851052,work,steel,sharp
P24,1.6106728804632013,-0.24540281901851052,work,steel,sharp
P25,1.6106728804632013,-0.24540281901851052,work,steel,sharp
P26,1.6106728804632013,-0.24540281901851052,work,steel,sharp
P27,1.6106728804632013,-0.24540281901851052,work,steel,sharp
P28,1.6106728804632013,-0.24540281901851052,work,steel,sharp
P29,1.6106728804632013,-0.24540281901851052,work,steel,sharp
P30,1.6106728804632013,-0.24540281901851052,work,steel,sharp
P31,-0.8865102596881169,-1.443528593890156,chat,fabric,soft
P32,-0.8865102596881169,-1.443528593890156,chat,fabric,soft
P33,-0.8865102596881169,-1.443528593890156,chat,fabric,soft
P34,-0.8865102596881169,-1.443528593890156,chat,fabric,soft
P35,-0.8865102596881169,-1.443528593890156,chat,fabric,soft
P36,-0.8865102596881169,-1.443528593890156,chat,fabric,soft
P37,-0.8865102596881169,-1.443528593890156,chat,fabric,soft
P38,-0.8865102596881169,-1.443528593890156,chat,fabric,soft
P39,-0.8865102596881169,-1.443528593890156,chat,fabric,soft
P40,-0.8865102596881169,-1.443528593890156,chat,fabric,soft
P41,-0.8865102596881169,-1.443528593890156,chat,fabric,soft
P42,-0.8865102596881169,-1.443528593890156,chat,fabric,soft
P43,-0.6739642679257133,0.48163047853197294,reading,wood,soft
P44,-0.6739642679257133,0.48163047853197294,reading,wood,soft
P45,-0.6739642679257133,0.48163047853197294,reading,wood,soft
P46,-0.6464280289211491,0.4346108650796595,reading,fabric,natural
P47,-0.6464280289211491,0.4346108650796595,reading,fabric,natural
P48,0.8898637760205105,0.266137981945558,work,steel,natural
P49,0.8898637760205105,0.266137981945558,work,steel,natural
P50,0.9300832488416136,0.27909824141638545,work,wood,sharp
P51,0.9300832488416136,0.27909824141638545,work,wood,sharp
P52,-0.7460221782891128,-0.583142679784041,chat,fabric,natural
P53,-0.7460221782891128,-0.583142679784041,chat,fabric,natural
P54,-0.7460221782891128,-0.583142679784041,chat,fabric,natural
P55,-0.7735584172936766,-0.5361230663317277,chat,wood,soft
P56,-0.7735584172936766,-0.5361230663317277,chat,wood,soft
P57,0.14711344509487884,0.817515332203192,reading,steel,natural
P58,0.8171314064471732,-0.6283072861420429,work,fabric,sharp
P59,-0.09296878567208892,-1.0606241267666234,chat,steel,soft
P60,-0.7869161103201534,-0.4257750490264555,reading,fabric,soft
