回答者ID,座標1,座標2,purpose,material,style,perplexity,random_state
P01,13.944007,3.4653676,reading,wood,natural,5,42
P02,14.219151,3.9685097,reading,wood,natural,5,42
P03,14.333902,3.148548,reading,wood,natural,5,42
P04,13.036108,2.6373203,reading,wood,natural,5,42
P05,13.6501255,3.975816,reading,wood,natural,5,42
P06,14.805559,2.609703,reading,wood,natural,5,42
P07,13.9100895,2.0579364,reading,wood,natural,5,42
P08,13.391869,2.2129664,reading,wood,natural,5,42
P09,14.1554785,2.6839051,reading,wood,natural,5,42
P10,14.671513,3.6626155,reading,wood,natural,5,42
P11,13.18993,3.6865473,reading,wood,natural,5,42
P12,13.524341,3.1892087,reading,wood,natural,5,42
P13,13.662682,2.709376,reading,wood,natural,5,42
P14,14.897232,3.1465552,reading,wood,natural,5,42
P15,14.437899,2.1989634,reading,wood,natural,5,42
P16,12.954645,3.1730995,reading,wood,natural,5,42
P17,-16.646875,8.022042,work,steel,sharp,5,42
P18,-17.405336,8.234967,work,steel,sharp,5,42
P19,-17.349644,7.8529663,work,steel,sharp,5,42
P20,-16.761488,7.365019,work,steel,sharp,5,42
P21,-16.672905,8.254015,work,steel,sharp,5,42
P22,-15.920536,8.042439,work,steel,sharp,5,42
P23,-16.35976,7.4186106,work,steel,sharp,5,42
P24,-15.96614,8.426667,work,steel,sharp,5,42
P25,-16.19285,8.746385,work,steel,sharp,5,42
P26,-16.052488,7.6751733,work,steel,sharp,5,42
P27,-17.126387,7.5317674,work,steel,sharp,5,42
P28,-16.55998,8.907086,work,steel,sharp,5,42
P29,-16.961153,8.852837,work,steel,sharp,5,42
P30,-17.272987,8.60191,work,steel,sharp,5,42
P31,9.3775835,-15.509331,chat,fabric,soft,5,42
P32,10.026568,-14.8801565,chat,fabric,soft,5,42
P33,9.455643,-15.180833,chat,fabric,soft,5,42
P34,10.559078,-15.612955,chat,fabric,soft,5,42
P35,9.975153,-15.477233,chat,fabric,soft,5,42
P36,10.392612,-15.90678,chat,fabric,soft,5,42
P37,10.33994,-15.005032,chat,fabric,soft,5,42
P38,10.092424,-16.063429,chat,fabric,soft,5,42
P39,9.69776,-14.9450865,chat,fabric,soft,5,42
P40,10.53942,-15.27746,chat,fabric,soft,5,42
P41,9.488556,-15.82693,chat,fabric,soft,5,42
P42,9.756087,-16.034145,chat,fabric,soft,5,42
P43,14.122167,-3.563991,reading,wood,soft,5,42
P44,14.120676,-3.5627735,reading,wood,soft,5,42
P45,14.121359,-3.5648518,reading,wood,soft,5,42
P46,9.156086,1.3037329,reading,fabric,natural,5,42
P47,9.155857,1.3129644,reading,fabric,natural,5,42
P48,-12.603748,7.945302,work,steel,natural,5,42
P49,-12.599729,7.942647,work,steel,natural,5,42
P50,-20.500395,6.9559193,work,wood,sharp,5,42
P51,-20.49857,6.956931,work,wood,sharp,5,42
P52,5.46242,-12.856338,chat,fabric,natural,5,42
P53,5.4625015,-12.859755,chat,fabric,natural,5,42
P54,5.4529805,-12.854412,chat,fabric,natural,5,42
P55,12.5129795,-11.808102,chat,wood,soft,5,42
P56,12.504035,-11.803882,chat,wood,soft,5,42
P57,-5.421315,7.283785,reading,steel,natural,5,42
P58,-26.96245,5.387726,work,fabric,sharp,5,42
P59,21.590845,-14.267356,chat,steel,soft,5,42
P60,3.5780587,-0.96013486,reading,fabric,soft,5,42
P01,5.503266,-2.005637,reading,wood,natural,15,42
P02,5.1795077,-1.885078,reading,wood,natural,15,42
P03,5.75084,-1.2597373,reading,wood,natural,15,42
P04,5.850745,-1.3907324,reading,wood,natural,15,42
P05,5.3353524,-1.9804257,reading,wood,natural,15,42
P06,5.789112,-1.871622,reading,wood,natural,15,42
P07,5.0436926,-1.6064216,reading,wood,natural,15,42
P08,5.0912576,-1.7686119,reading,wood,natural,15,42
P09,5.8964806,-1.5575564,reading,wood,natural,15,42
P10,5.8760314,-1.7220925,reading,wood,natural,15,42
P11,5.6580253,-1.9679021,reading,wood,natural,15,42
P12,5.271752,-1.1911331,reading,wood,natural,15,42
P13,5.1432686,-1.2913456,reading,wood,natural,15,42
P14,5.064285,-1.430584,reading,wood,natural,15,42
P15,5.602398,-1.1716211,reading,wood,natural,15,42
P16,5.4381475,-1.1476448,reading,wood,natural,15,42
P17,-3.1001456,11.048246,work,steel,sharp,15,42
P18,-3.4483314,10.828853,work,steel,sharp,15,42
P19,-3.4885924,11.523843,work,steel,sharp,15,42
P20,-3.1833918,11.44514,work,steel,sharp,15,42
P21,-3.5799298,10.875594,work,steel,sharp,15,42
P22,-3.619865,11.4641285,work,steel,sharp,15,42
P23,-3.2588696,10.869159,work,steel,sharp,15,42
P24,-3.084561,11.291623,work,steel,sharp,15,42
P25,-3.3116033,11.516649,work,steel,sharp,15,42
P26,-3.730752,11.066626,work,steel,sharp,15,42
P27,-3.4200733,10.827029,work,steel,sharp,15,42
P28,-3.0699196,11.192771,work,steel,sharp,15,42
P29,-3.735044,11.306074,work,steel,sharp,15,42
P30,-3.749119,11.249237,work,steel,sharp,15,42
P31,-1.1570659,-5.6567655,chat,fabric,soft,15,42
P32,-1.5029373,-5.5057936,chat,fabric,soft,15,42
P33,-1.2106704,-5.5584016,chat,fabric,soft,15,42
P34,-1.3968576,-5.976688,chat,fabric,soft,15,42
P35,-1.3968576,-5.976688,chat,fabric,soft,15,42
P36,-1.6047646,-5.59751,chat,fabric,soft,15,42
P37,-1.5029503,-5.5058,chat,fabric,soft,15,42
P38,-1.1570692,-5.6567526,chat,fabric,soft,15,42
P39,-1.5812057,-5.896994,chat,fabric,soft,15,42
P40,-1.6427948,-5.7540784,chat,fabric,soft,15,42
P41,-1.3968576,-5.976688,chat,fabric,soft,15,42
P42,-1.157066,-5.656764,chat,fabric,soft,15,42
P43,4.235754,-4.348979,reading,wood,soft,15,42
P44,4.235754,-4.348979,reading,wood,soft,15,42
P45,4.2357545,-4.3489785,reading,wood,soft,15,42
P46,2.556027,-1.6198475,reading,fabric,natural,15,42
P47,2.5560257,-1.6198449,reading,fabric,natural,15,42
P48,-1.8381907,9.89079,work,steel,natural,15,42
P49,-1.8382009,9.890781,work,steel,natural,15,42
P50,-5.112344,10.157011,work,wood,sharp,15,42
P51,-5.1123433,10.157005,work,wood,sharp,15,42
P52,-0.74974483,-3.5990036,chat,fabric,natural,15,42
P53,-0.74974555,-3.5990143,chat,fabric,natural,15,42
P54,-0.7497456,-3.5990105,chat,fabric,natural,15,42
P55,0.5530213,-6.1612406,chat,wood,soft,15,42
P56,0.5530154,-6.1612387,chat,wood,soft,15,42
P57,0.6625864,6.2710233,reading,steel,natural,15,42
P58,-7.479738,8.959448,work,fabric,sharp,15,42
P59,-0.52362263,-6.631126,chat,steel,soft,15,42
P60,3.473438,-7.6699147,reading,fabric,soft,15,42
P01,-1.2222643,-2.6860144,reading,wood,natural,30,42
P02,-1.2222645,-2.6860144,reading,wood,natural,30,42
P03,-1.2576008,-3.1044703,reading,wood,natural,30,42
P04,-1.258295,-3.1045415,reading,wood,natural,30,42
P05,-1.2582632,-3.1045384,reading,wood,natural,30,42
P06,-1.4874383,-2.8365536,reading,wood,natural,30,42
P07,-1.2222644,-2.6860142,reading,wood,natural,30,42
P08,-1.2222643,-2.6860144,reading,wood,natural,30,42
P09,-1.0966537,-2.9766853,reading,wood,natural,30,42
P10,-1.155563,-3.0605285,reading,wood,natural,30,42
P11,-1.48576,-2.8287387,reading,wood,natural,30,42
P12,-1.2222645,-2.6860142,reading,wood,natural,30,42
P13,-1.0966537,-2.9766853,reading,wood,natural,30,42
P14,-1.2576387,-3.1044745,reading,wood,natural,30,42
P15,-1.4859961,-2.829758,reading,wood,natural,30,42
P16,-1.4859872,-2.8297184,reading,wood,natural,30,42
P17,-0.5288911,1.2972665,work,steel,sharp,30,42
P18,-0.37504464,1.1567487,work,steel,sharp,30,42
P19,-0.5288911,1.2972665,work,steel,sharp,30,42
P20,-0.5288911,1.2972665,work,steel,sharp,30,42
P21,-0.5706046,1.1072189,work,steel,sharp,30,42
P22,-0.3750446,1.1567487,work,steel,sharp,30,42
P23,-0.37504455,1.1567487,work,steel,sharp,30,42
P24,-0.37504455,1.1567487,work,steel,sharp,30,42
P25,-0.5288911,1.2972665,work,steel,sharp,30,42
P26,-0.3750446,1.1567487,work,steel,sharp,30,42
P27,-0.5706045,1.1072187,work,steel,sharp,30,42
P28,-0.5706045,1.1072187,work,steel,sharp,30,42
P29,-0.5706045,1.1072187,work,steel,sharp,30,42
P30,-0.5706045,1.1072187,work,steel,sharp,30,42
P31,2.250769,-2.2402568,chat,fabric,soft,30,42
P32,2.250769,-2.2402568,chat,fabric,soft,30,42
P33,2.250769,-2.2402568,chat,fabric,soft,30,42
P34,2.250769,-2.2402568,chat,fabric,soft,30,42
P35,2.250769,-2.2402568,chat,fabric,soft,30,42
