record_id,purpose,material,style
P01,reading,wood,natural
P02,reading,wood,natural
P03,reading,wood,natural
P04,reading,wood,natural
P05,reading,wood,natural
P06,reading,wood,natural
P07,reading,wood,natural
P08,reading,wood,natural
P09,reading,wood,natural
P10,reading,wood,natural
P11,reading,wood,natural
P12,reading,wood,natural
P13,reading,wood,natural
P14,reading,wood,natural
P15,reading,wood,natural
P16,reading,wood,natural
P17,work,steel,sharp
P18,work,steel,sharp
P19,work,steel,sharp
P20,work,steel,sharp
P21,work,steel,sharp
P22,work,steel,sharp
P23,work,steel,sharp
P24,work,steel,sharp
P25,work,steel,sharp
P26,work,steel,sharp
P27,work,steel,sharp
P28,work,steel,sharp
P29,work,steel,sharp
P30,work,steel,sharp
P31,chat,fabric,soft
P32,chat,fabric,soft
P33,chat,fabric,soft
P34,chat,fabric,soft
P35,chat,fabric,soft
P36,chat,fabric,soft
P37,chat,fabric,soft
P38,chat,fabric,soft
P39,chat,fabric,soft
P40,chat,fabric,soft
P41,chat,fabric,soft
P42,chat,fabric,soft
P43,reading,wood,soft
P44,reading,wood,soft
P45,reading,wood,soft
P46,reading,fabric,natural
P47,reading,fabric,natural
P48,work,steel,natural
P49,work,steel,natural
P50,work,wood,sharp
P51,work,wood,sharp
P52,chat,fabric,natural
P53,chat,fabric,natural
P54,chat,fabric,natural
P55,chat,wood,soft
P56,chat,wood,soft
P57,reading,steel,natural
P58,work,fabric,sharp
P59,chat,steel,soft
P60,reading,fabric,soft
