participant,trial,condition,word,ink_color,rt_ms,correct
P01,1,congruent,赤,red,480,1
P01,2,incongruent,青,red,580,1
P01,3,congruent,青,blue,500,1
P01,4,incongruent,緑,blue,600,1
P01,5,congruent,緑,green,520,1
P01,6,incongruent,赤,green,620,1
P01,7,congruent,赤,red,500,1
P01,8,incongruent,青,red,600,1
P02,1,incongruent,青,red,740,1
P02,2,congruent,赤,red,600,1
P02,3,incongruent,緑,blue,760,1
P02,4,congruent,青,blue,620,1
P02,5,incongruent,赤,green,780,1
P02,6,congruent,緑,green,640,1
P02,7,incongruent,青,red,760,1
P02,8,congruent,赤,red,620,1
P03,1,congruent,赤,red,540,1
P03,2,incongruent,青,red,620,1
P03,3,congruent,青,blue,560,1
P03,4,incongruent,緑,blue,640,1
P03,5,congruent,緑,green,580,1
P03,6,incongruent,赤,green,660,1
P03,7,congruent,赤,red,560,1
P03,8,incongruent,青,red,640,1
P04,1,incongruent,青,red,740,1
P04,2,congruent,赤,red,680,1
P04,3,incongruent,緑,blue,760,1
P04,4,congruent,青,blue,700,1
P04,5,incongruent,赤,green,780,1
P04,6,congruent,緑,green,720,1
P04,7,incongruent,青,red,760,1
P04,8,congruent,赤,red,700,1
P05,1,congruent,赤,red,560,1
P05,2,incongruent,青,red,660,1
P05,3,congruent,青,blue,580,1
P05,4,incongruent,緑,blue,680,1
P05,5,congruent,緑,green,600,1
P05,6,incongruent,赤,green,700,1
P05,7,congruent,赤,red,580,1
P05,8,incongruent,青,red,680,1
P06,1,incongruent,青,red,820,1
P06,2,congruent,赤,red,640,1
P06,3,incongruent,緑,blue,840,1
P06,4,congruent,青,blue,660,1
P06,5,incongruent,赤,green,860,1
P06,6,congruent,緑,green,680,1
P06,7,incongruent,青,red,840,1
P06,8,congruent,赤,red,660,1
P07,1,congruent,赤,red,740,1
P07,2,incongruent,青,red,780,1
P07,3,congruent,青,blue,760,1
P07,4,incongruent,緑,blue,800,1
P07,5,congruent,緑,green,780,1
P07,6,incongruent,赤,green,820,1
P07,7,congruent,赤,red,760,1
P07,8,incongruent,青,red,800,1
P08,1,incongruent,青,red,620,1
P08,2,congruent,赤,red,520,1
P08,3,incongruent,緑,blue,640,1
P08,4,congruent,青,blue,540,1
P08,5,incongruent,赤,green,660,1
P08,6,congruent,緑,green,560,1
P08,7,incongruent,青,red,640,1
P08,8,congruent,赤,red,540,1
